typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","268","GEO","Georgia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","19","true",,"false","11443",,"11443","4","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","195495175",,"195495175","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","300","GRC","Greece","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","38109",,"38109","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","320","GTM","Guatemala","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1","false",,"false","21",,"21","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","336","VAT","Holy See (Vatican City State)","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","27","false",,"false","5485",,"5485","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","340","HND","Honduras","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","591",,"591","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","42095054",,"42095054","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","348","HUN","Hungary","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","323985",,"323985","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","352","ISL","Iceland","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","185",,"185","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8415431",,"8415431","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","364","IRN","Iran","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2817",,"2817","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","372","IRL","Ireland","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2851805",,"2851805","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","376","ISR","Israel","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","26230044",,"26230044","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3336709",,"3336709","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","388","JAM","Jamaica","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","146","false",,"false","30587",,"30587","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1745247924",,"1745247924","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","404","KEN","Kenya","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","136714",,"136714","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","408","PRK","Dem. People's Rep. of Korea","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","18368",,"18368","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","662296959",,"662296959","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","414","KWT","Kuwait","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"true",,"false","29",,"29","4","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","440","LTU","Lithuania","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1","false",,"false","3582",,"3582","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","442","LUX","Luxembourg","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1085",,"1085","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","446","MAC","China, Macao SAR","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10281",,"10281","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","450","MDG","Madagascar","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","192",,"192","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","458","MYS","Malaysia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","639332421",,"639332421","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","466","MLI","Mali","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","37589",,"37589","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","470","MLT","Malta","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","23579044",,"23579044","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","478","MRT","Mauritania","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10481",,"10481","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8414524",,"8414524","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2207750958",,"2207750958","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","496","MNG","Mongolia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","232",,"232","0","true","false",
